20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_cn_group_btc.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_cobaltgang.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_corkow_dll.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_credstealer_generic.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_cryptowall_svg.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_dexter_trojan.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_dridex_xml.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_enfal.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_envrial.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_eternalrocks.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_fareit.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_fireball.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_floxif_flystudio.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_goldeneye.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_hermes_ransom.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_kasper_oct17.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_kins_dropper.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_kr_malware.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_kraken_bot1.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_kriskynote.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_locky.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_loki_bot.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_mal_grandcrab.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_malumpos.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_malware_generic.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_malware_set_oct16.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_mikey_trojan.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_mirai.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_mywscript_dropper.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_nkminer.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_nopetya_jun17.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_ole_loadswf_cve_2018_4878.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_phish_gina_dec15.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_rombertik_carbongrabber.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_shifu_trojan.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_snarasite.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_teledoor.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_upatre_oct15.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_wannacry.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_zeus_panda.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2014_4076.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2015_1674.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2015_1701.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2015_2426.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2015_2545.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2015_5119.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2017_11882.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2017_8759.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2017_9800.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_cve_2018_0802.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_rtf_ole2link.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: exploit_uac_elevators.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_ace_with_exe.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_armitage.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_b374k_extra.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_bad_pdf.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_case_anomalies.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_chaos_payload.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: gen_cn_hacktool_scripts.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_cn_hacktools.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_cn_webshells.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_crimson_rat.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_crunchrat.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_dde_in_office_docs.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_deviceguard_evasion.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_dropper_pdb.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_empire.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_enigma_protector.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_exploit_cve_2017_10271_weblogic.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_faked_versions.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_floxif.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_gen_cactustorch.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_gpp_cpassword.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_hawkeye.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_hta_anomalies.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_impacket_tools.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_invoke_mimikatz.yar
20180605T16:42:30Z IE11WIN7 LOKI: Info: New signature file: gen_invoke_psimage.yar
